Postcode,Total
4518,"2,032"
4519,"3,021"
4520,"4,545"
4521,"1,806"
4550,"1,603"
4551,"20,846"
4552,"3,589"
4553,"4,038"
4554,553
4555,"2,553"
4556,"12,947"
4557,"4,187"
4558,"4,047"
4559,"2,151"
4560,"10,486"
4561,"2,961"
4562,"2,941"
4563,"3,706"
4564,"3,258"
4565,"4,622"
4566,"2,821"
4567,"3,052"
4568,"1,298"
4569,550
4570,"15,587"
4571,280
4572,581
4573,"7,512"
4574,463
4575,"7,331"
4580,"2,663"
4581,641
4600,314
4601,275
4605,894
4606,668
4608,265
4610,"3,444"
4611,40
4612,73
4613,215
4614,396
4615,"2,155"
4620,117
4621,476
4625,695
4626,491
4627,187
4630,497
4650,"10,400"
4655,"22,781"
4659,"2,417"
4660,"3,174"
4662,226
4670,"24,110"
4671,"1,986"
4673,200
4674,519
4676,80
4677,"1,501"
4678,383
4680,"13,260"
4694,50
4695,309
4697,42
4699,118
4700,"3,262"
4701,"9,294"
4702,"6,602"
4703,"6,958"
4704,32
4705,71
4706,19
4707,49
4709,10
4710,"1,323"
4711,559
4712,48
4713,26
4714,739
4715,"1,318"
4716,167
4717,564
4718,523
4719,239
4720,"2,895"
4721,580
4722,371
4723,278
4724,113
4725,346
4726,82
4727,69
4728,66
4730,617
4731,56
4732,42
4733,31
4735,227
4736,20
4737,"2,165"
4738,331
4739,103
4740,"18,560"
4741,"1,964"
4742,169
4743,13
4744,666
4745,197
4746,33
4750,"1,460"
4751,"1,066"
4753,"1,169"
4754,581
4756,138
4757,78
4798,204
4799,463
4800,"3,519"
4802,"2,696"
4803,1
4804,531
4805,"2,920"
4806,"1,246"
4807,"3,142"
4808,363
4809,382
4810,"3,665"
4811,"3,093"
4812,"3,791"
4814,"10,682"
4815,"5,985"
4816,"2,873"
4817,"8,564"
4818,"9,615"
4819,888
4820,"2,061"
4821,381
4822,177
4823,152
4824,393
4825,"2,926"
4828,58
4829,177
4830,78
4849,461
4850,"2,609"
4852,"1,251"
4854,"1,092"
4855,181
4856,181
4857,3
4858,333
4859,101
4860,"1,830"
4861,270
4865,"2,261"
4868,"4,696"
4869,"4,879"
4870,"13,379"
4871,"2,007"
4872,"1,002"
4873,"1,836"
4874,26
4875,167
4876,37
4877,"1,291"
4878,"3,919"
4879,"6,123"
4880,"3,256"
4881,"1,074"
4882,808
4883,"1,519"
4884,606
4885,966
4886,156
4887,441
4888,622
4890,130
4891,103
4892,75
4895,615
5000,"1,336"
5001,13
5006,913
5007,"1,548"
5008,"2,843"
5009,"1,277"
5010,"1,445"
5011,"2,734"
5012,"2,404"
5013,"2,617"
5014,"2,680"
5015,"1,474"
5016,"2,286"
5017,"1,217"
5018,"1,697"
5019,"2,254"
5020,828
5021,"1,802"
5022,"4,062"
5023,"3,447"
5024,"3,395"
5025,"2,040"
5031,"1,991"
5032,"2,672"
5033,"1,626"
5034,"2,182"
5035,"1,160"
5037,"2,207"
5038,"3,276"
5039,"2,174"
5040,601
5041,"2,997"
5042,"2,551"
5043,"4,195"
5044,"2,724"
5045,"2,881"
5046,"2,080"
5047,"2,029"
5048,"3,789"
5049,"2,799"
5050,"1,549"
5051,"4,040"
5052,"1,570"
5061,"2,212"
5062,"3,792"
5063,"2,374"
5064,"2,496"
5065,"2,278"
5066,"3,050"
5067,"1,925"
5068,"2,510"
5069,"1,897"
5070,"3,195"
5071,3
5072,"3,312"
5073,"3,799"
5074,"3,120"
5075,"2,659"
5076,"2,394"
5081,"2,201"
5082,"3,234"
5083,"1,601"
5084,"1,812"
5085,"5,791"
5086,"4,306"
5087,"2,712"
5088,927
5089,"1,731"
5090,"2,040"
5091,"1,993"
5092,"4,525"
5093,"2,405"
5094,435
5095,"4,691"
5096,"3,740"
5097,"3,529"
5098,"3,491"
5106,124
5107,"4,576"
5108,"9,373"
5109,"5,352"
5110,"2,320"
5111,61
5112,"3,986"
5113,"3,794"
5114,"9,135"
5115,"3,208"
5116,"3,007"
5117,"2,497"
5118,"5,889"
5120,"1,840"
5121,976
5125,"5,260"
5126,"1,800"
5127,"2,035"
5131,319
5132,136
5133,128
5134,126
5136,160
5137,178
5138,105
5139,113
5140,140
5141,243
5142,190
5144,133
5150,26
5151,97
5152,"1,389"
5153,"2,196"
5154,782
5155,920
5156,205
5157,"1,073"
5158,"6,932"
5159,"8,937"
5160,404
5161,"2,811"
5162,"9,262"
5163,"3,965"
5164,"1,028"
5165,"1,186"
5166,488
5167,"1,793"
5168,"1,675"
5169,"5,728"
5170,415
5171,"2,255"
5172,"1,537"
5173,"4,040"
5174,992
5175,1
5201,803
5202,333
5203,518
5204,"1,897"
5207,1
5210,663
5211,"6,709"
5212,"1,019"
5213,662
5214,"4,614"
5220,48
5221,158
5222,379
5223,"1,077"
5231,393
5232,145
5233,466
5234,439
5235,887
5236,105
5237,126
5238,"2,085"
5240,207
5241,750
5242,507
5243,277
5244,"1,401"
5245,887
5250,"1,092"
5251,"6,208"
5252,"1,876"
5253,"5,540"
5254,"1,003"
5255,"3,490"
5256,695
5259,510
5260,558
5261,82
5262,85
5263,44
5264,414
5265,103
5266,182
5267,512
5268,891
5269,54
5270,167
