2021 Postal Area (POA) Code,Usual Resident Population,Score,Decile
2517,13959 ,1018,7
2518,19864 ,953,3
2519,17227 ,996,5
2525,12335 ,1056,9
2526,16736 ,1034,7
2527,26072 ,1045,8
2528,23735 ,935,2
2529,29134 ,1046,8
2530,35038 ,1019,7
2533,17177 ,1062,9
2534,5767 ,1062,9
2535,7993 ,1039,8
2536,19333 ,975,4
2537,12981 ,998,5
2538,2580 ,1040,8
2539,20305 ,993,5
2540,48267 ,1005,6
2541,28038 ,942,2
2545,1117 ,1000,5
2546,10066 ,976,4
2548,8419 ,991,5
2549,4101 ,1019,7
2550,16936 ,989,5
2551,3718 ,935,2
2555,168 ,1033,7
2556,2433 ,1075,9
2557,20103 ,1106,10
2558,11099 ,1018,7
2559,2991 ,807,1
2560,82543 ,974,4
2563,276 ,1004,6
2564,14198 ,898,1
2565,31588 ,1043,8
2566,27796 ,993,5
2567,40951 ,1104,10
2568,1252 ,1085,10
2569,1386 ,1104,10
2570,63663 ,1093,10
2571,13174 ,1115,10
2572,5484 ,1053,8
2573,5777 ,1015,6
2574,5934 ,1061,9
2575,17846 ,1051,8
2576,14189 ,1064,9
2577,16724 ,1054,9
2578,2846 ,1033,7
2579,4646 ,1058,9
2580,31629 ,985,4
2581,2507 ,1092,10
2582,13693 ,1084,10
2583,4604 ,1009,6
2584,550 ,1042,8
2585,235 ,1008,6
2586,2871 ,996,5
2587,2932 ,971,3
2588,299 ,1041,8
2590,7153 ,949,2
2594,12150 ,966,3
2600,8255 ,1073,9
2601,7680 ,917,1
2602,34540 ,1001,5
2603,10306 ,1074,9
2604,13034 ,997,5
2605,12488 ,1076,9
2606,12071 ,985,4
2607,14717 ,1058,9
2609,1136 ,877,1
2611,36535 ,1066,9
2612,18965 ,973,4
2614,20595 ,1030,7
2615,47356 ,1034,7
2617,38073 ,1003,6
2618,1397 ,1131,10
2619,9601 ,1143,10
2620,45604 ,1039,8
2621,6688 ,1135,10
2622,4141 ,1031,7
2623,611 ,990,5
2625,400 ,922,1
2626,515 ,1086,10
2627,5263 ,1022,7
2628,2176 ,1019,7
2629,534 ,1014,6
2630,8876 ,993,5
2631,629 ,992,5
2632,1892 ,974,4
2633,321 ,960,3
2640,39879 ,984,4
2641,16550 ,912,1
2642,5476 ,1051,8
2643,2997 ,990,5
2644,2442 ,995,5
2645,339 ,935,2
2646,6841 ,967,3
2647,2557 ,995,5
2648,2671 ,962,3
2649,30 ,1059,9
2650,61511 ,984,4
2651,3081 ,1000,5
2652,4757 ,1053,8
2653,2636 ,989,5
2655,1416 ,1013,6
2656,1327 ,981,4
2658,1488 ,978,4
2659,871 ,982,4
2660,1607 ,979,4
2661,395 ,1101,10
2663,5281 ,951,2
2665,2017 ,974,4
2666,5636 ,980,4
2668,404 ,983,4
2669,1539 ,1008,6
2671,3969 ,998,5
2672,1511 ,933,2
2675,1659 ,973,4
2680,25339 ,983,4
2681,1793 ,1017,6
2700,4873 ,942,2
2701,2492 ,1024,7
2702,793 ,987,5
2703,744 ,1009,6
2705,10687 ,976,4
2706,1030 ,950,2
2707,1167 ,1025,7
2710,9743 ,973,4
2711,3197 ,957,3
2712,1375 ,961,3
2713,2746 ,973,4
2714,2921 ,972,3
2715,1382 ,955,3
2716,988 ,968,3
2717,1205 ,923,1
2720,8501 ,967,3
2721,230 ,1030,7
2722,3418 ,981,4
2725,347 ,976,4
2726,255 ,1044,8
2727,348 ,1071,9
2729,1622 ,1002,6
2730,1335 ,945,2
2731,7446 ,1022,7
2732,1877 ,970,3
2733,598 ,959,3
2734,472 ,1074,9
2735,408 ,1031,7
2736,419 ,925,1
2737,822 ,991,5
2738,2132 ,1057,9
2739,1414 ,987,5
2745,31847 ,1108,10
2747,54397 ,1016,6
2748,1798 ,1101,10
2749,17029 ,1034,7
2750,49204 ,976,4
2752,5747 ,1120,10
2753,17587 ,1034,7
2754,7065 ,1046,8
2756,35328 ,1059,9
2757,850 ,1086,10
2758,8848 ,1126,10
2759,26434 ,1048,8
2760,37632 ,950,2
2761,34702 ,1043,8
2762,21780 ,1114,10
2763,33197 ,1057,9
2765,45613 ,1125,10
2766,17047 ,996,5
2767,23384 ,999,5
2768,28864 ,1134,10
2769,16315 ,1171,10
